"No.","Time","Source IP","Destination IP","Source Port","Destination Port","Protocol","ICMP type","Length","Flags"
"248","28.063058000","13.89.178.27","192.168.1.5","443","53948","TLSv1.3","","801","0x0018"
"249","28.063261000","192.168.1.5","13.89.178.27","53948","443","TCP","","54","0x0010"
"250","28.067514000","192.168.1.5","13.89.178.27","53948","443","TLSv1.3","","128","0x0018"
"251","28.067745000","192.168.1.5","13.89.178.27","53948","443","TLSv1.3","","146","0x0018"
"252","28.068022000","192.168.1.5","13.89.178.27","53948","443","TLSv1.3","","538","0x0018"
"253","28.068076000","192.168.1.5","13.89.178.27","53948","443","TLSv1.3","","1165","0x0018"
"254","28.306672000","13.89.178.27","192.168.1.5","443","53948","TCP","","54","0x0010"
"255","28.306672000","13.89.178.27","192.168.1.5","443","53948","TCP","","54","0x0010"
"256","28.322541000","13.89.178.27","192.168.1.5","443","53948","TLSv1.3","","157","0x0018"
"257","28.322541000","13.89.178.27","192.168.1.5","443","53948","TLSv1.3","","116","0x0018"
"258","28.322746000","192.168.1.5","13.89.178.27","53948","443","TCP","","54","0x0010"
"259","28.323368000","192.168.1.5","13.89.178.27","53948","443","TLSv1.3","","85","0x0018"
"260","28.548215000","13.89.178.27","192.168.1.5","443","53948","TLSv1.3","","366","0x0018"
"261","28.587735000","192.168.1.5","13.89.178.27","53948","443","TCP","","54","0x0010"
"262","30.579835000","192.168.1.7","224.0.0.251","","","MDNS","","103",""
"263","30.704637000","","","","","ARP","","60",""
"264","30.704670000","","","","","ARP","","42",""
"265","30.715540000","","","","","ICMPv6","","86",""
"266","30.715596000","","","","","ICMPv6","","86",""
"267","30.717827000","","","","","ICMPv6","","86",""
"268","30.717876000","","","","","ICMPv6","","86",""
"269","30.720577000","","","","","ICMPv6","","86",""
"270","30.720619000","","","","","ICMPv6","","86",""
"271","30.907091000","13.89.179.10","192.168.1.5","443","53903","TCP","","54","0x0010"
"272","30.907205000","192.168.1.5","13.89.179.10","53903","443","TCP","","54","0x0010"
"273","31.124005000","13.89.179.10","192.168.1.5","443","53903","TCP","","54","0x0010"
"274","31.721455000","192.168.1.5","208.115.231.94","53461","443","TCP","","55","0x0010"
"275","31.871441000","208.115.231.94","192.168.1.5","443","53461","TCP","","66","0x0010"
"276","32.160531000","","","443","53508","TLSv1.2","","101","0x0018"
"277","32.208891000","","","53508","443","TCP","","74","0x0010"
"278","32.504285000","192.168.1.5","13.67.9.5","53947","443","TCP","","54","0x0011"
"279","32.504754000","192.168.1.5","13.89.178.27","53948","443","TCP","","54","0x0011"
"280","32.561222000","13.67.9.5","192.168.1.5","443","53947","TCP","","54","0x0010"
"281","32.561222000","13.67.9.5","192.168.1.5","443","53947","TCP","","54","0x0011"
"282","32.561570000","192.168.1.5","13.67.9.5","53947","443","TCP","","54","0x0010"
"283","32.728838000","13.89.178.27","192.168.1.5","443","53948","TCP","","54","0x0011"
"284","32.729007000","192.168.1.5","13.89.178.27","53948","443","TCP","","54","0x0010"
"285","32.854571000","20.189.173.5","192.168.1.5","443","53943","TCP","","54","0x0010"
"286","32.854655000","192.168.1.5","20.189.173.5","53943","443","TCP","","54","0x0010"
"287","33.077592000","20.189.173.5","192.168.1.5","443","53943","TCP","","54","0x0010"
"288","33.400698000","13.89.179.10","192.168.1.5","443","53903","TCP","","54","0x0014"
"289","34.316907000","210.148.85.30","192.168.1.5","80","53946","TCP","","54","0x0010"
"290","34.317082000","192.168.1.5","210.148.85.30","53946","80","TCP","","54","0x0010"
"291","34.908139000","204.79.197.222","192.168.1.5","443","53911","TCP","","54","0x0010"
"292","34.908248000","192.168.1.5","204.79.197.222","53911","443","TCP","","54","0x0010"
"293","34.911911000","204.79.197.222","192.168.1.5","443","53911","TCP","","54","0x0010"
"294","34.915407000","34.49.50.137","192.168.1.5","443","53886","TCP","","54","0x0010"
"295","34.915553000","192.168.1.5","34.49.50.137","53886","443","TCP","","54","0x0010"
"296","34.917102000","34.49.50.137","192.168.1.5","443","53886","TCP","","54","0x0010"
"297","35.641723000","","","","","ICMPv6","","86",""
"298","35.643241000","","","","","ICMPv6","","78",""
"299","35.645400000","","","","","ARP","","60",""
"300","35.645411000","","","","","ARP","","42",""
